ADMN_1010	Fall	2015	ORAL COMM FOR TA'S	1010		0	0	Satisfactory/Unsatisfactory	0		Administration	ADMN
ADMN_1961	Fall	2015	FIRST YEAR SEMINAR	1961		0	1	Satisfactory/Unsatisfactory	1		Administration	ADMN
ADMN_4050	Fall	2015	PROFESSIONAL LEADERSHIP P	4050		0	0	Satisfactory/Unsatisfactory	0		Administration	ADMN
ADMN_6300	Fall	2015	GRADUATE FINAL REGISTRATI	6300		0	0	Satisfactory/Unsatisfactory	0		Administration	ADMN
ADMN_6600	Fall	2015	SUMMER ADMINIST REGISTRAT	6600		0	0	Satisfactory/Unsatisfactory	0		Administration	ADMN
ADMN_6700	Fall	2015	ORIENTATION SMR FOR GRADU	6700		0	0	Satisfactory/Unsatisfactory	0		Administration	ADMN
ADMN_6800	Fall	2015	TA TRAINING SEMINAR	6800		0	0	Satisfactory/Unsatisfactory	0		Administration	ADMN
ARCH_1974	Fall	2015	ITALIAN CULTURE & LANGUAG	1974		0	4		4		Architecture	ARCH
ARCH_2110	Fall	2015	The Building and Thinking of Architecture 1	2110	This course addresses the history of architectural and related developments in selected Western and non-Western civilizations to construct a conceptual and strategic understanding of the relationships between architecture, geography, culture, technology, and thought.	0	4		4	None	Architecture	ARCH
ARCH_2120	Fall	2015	The Building and Thinking of Architecture 2	2120	This course expands upon notions introduced in ARCH 2110 that architecture is a practice embedded in human cultures characterized by particular ways of thinking in action. In addition, notions that its domain of interests, physically and intellectually, extends beyond the limits of individual buildings are elaborated through specific examples. This is done against the background of the major shift in intellectual developments beginning in the 17th century that provide stimulus for the scientific, cultural, technological, and social revolutions of the 18th, 19th, and 20th centuries. Unlike ARCH 2110, this course for the most part, does not proceed in a chronological fashion.	0	2		2	Prerequisite: ARCH 2110.	Architecture	ARCH
ARCH_2130	Fall	2015	Contemporary Design Approaches	2130	Contemporary practices in architecture are examined and used as foils in order to better understand one’s own individual approach to design. The point is to help uncover some of the self-evidently “true” presuppositions that we all make when we design. By knowing what we take for granted and knowing also that others work with presuppositions which may be substantively different from our own, we begin to realize both our ability to exercise choices and our responsibility to think through the consequences of those choices. Each of the approaches is explored as to its ontological, epistemological, value, and methodological presuppositions. Two very direct questions help in this reflection: What relation does the given approach have to the formative conditions of the contemporary city? and, How does each of the design approaches relate to the American experiences in thought and action?	0	2		2	Prerequisite: ARCH 2120.	Architecture	ARCH
ARCH_2140	Fall	2015	The Building and Thinking of Architecture 3	2140	This course builds on the content and ideas of ARCH 2110 and 2120 to examine the history of architecture in medieval and Renaissance periods of Western civilization. In doing so it will examine the implications of these developments for the architecture of later eras as well as the chronology of specific important events in the time period from the 9th to the 17th centuries.	0	2		2	Prerequisite: ARCH 2120.	Architecture	ARCH
ARCH_2150	Fall	2015	The Ethos of Architecture	2150	This course will examine the spectrum of architectural phenomena and ideas without a specific chronology using examples ranging from antiquity to the contemporary world in western and non-western civilizations and produced in both vernacular and disciplinary cultures. An essential part of this course is to stimulate students’ curiosity about architecture and the larger world and introduce them to key issues of architecture regarding space, form, critique, technology, aesthetics, societal and cultural contexts, etc. Crucial to this goal is to encourage students to pursue and develop their own unique vision and voice in architecture throughout their education and practice. Fundamental to this process is making students aware of the necessity to challenge their own subjectivities, biases, and presuppositions.	0	2		2	ARCH 2160 Architectural Media.	Architecture	ARCH
ARCH_2160	Fall	2015	Architectural Media	2160	This course continues the inquiry begun in ARCH 2150 The Ethos of Architecture and focuses especially on the implications that various media and means of representation have on the breadth of concerns within the history, theory, and critical practices of architecture and especially the generation of architecture.	0	2		2	ARCH 4090 Architectural Case Studies	Architecture	ARCH
ARCH_2200	Fall	2015	Design Studio	2200	Design studio introducing students from all disciplines to general design through a series of short projects. The projects stress critical and creative thinking and invention, interdisciplinary collaboration, observation and perception, communication and visualization. Students will begin open-ended investigations using sketching, photography, model making, and computing.	0	4		4	None	Architecture	ARCH
ARCH_2210	Fall	2015	Architecture Design 1	2210	Design studio introducing students to the processes of critical inquiry specifically as it relates to architecture investigations. These processes are seen as interrelated and always informed by the societal, technological, and historical contexts within which architects work. Parallel instruction in drawing, computing, and construction technology are integrated within the work of this studio. Technology 1: The technology aspects focus on discovering the basic systems used to create space, such as structural systems, enclosure types, and systems for movement. Emphasis is placed upon constructability and sustainability. These discoveries are through hands-on applications and field visits. Computing: Explorations with the computer focus on both the development of a fundamental knowledge of 3-D modeling and 2-D image manipulation software and a nontraditional application of this knowledge to design representations. The computer media (3-D modeling “space,” computer printouts, video projections) are conceived of as yet another “physical” material for experimentation, and are integrated in this way with the studio design projects. Drawing: The drawing segment consists of freehand drawing exercises that relate to studio projects and help students develop basic drawing skills and a familiarity with two-dimensional design concepts.	0	6		6	None	Architecture	ARCH
